factor,IC_mean,IC_std,ICIR,t_stat,IC>0_%,N,Sig
F91_ocf_ni,0.030590118599736867,0.07334155990318542,0.4170911914079463,3.4394220753793516,69.11764705882352,68,True
F97_accruals,-0.03225853864330491,0.0846831737633921,-0.38093209323302474,-3.141246513174791,33.82352941176471,68,True
F80_ocf_mv,0.04599316505926636,0.12717470098420106,0.3616534161537372,2.9822704693346376,63.23529411764706,68,True
F74_cfp,0.04610435751064007,0.1282720457484907,0.35942638352427275,2.9639058878086795,63.23529411764706,68,True
F55_holding_adj,0.07346068780784436,0.1896307726746395,0.3873880107733628,2.872946379416412,61.81818181818181,55,True
F81_size,-0.0556301728114197,0.16293103477845333,-0.34143386425467215,-2.815535772969631,38.23529411764706,68,True
F34_vol_of_vol,-0.06432944344560766,0.21523889939636556,-0.29887461618703065,-2.409604190123643,35.38461538461539,65,True
F88_cash_roe,0.02229550723218724,0.08581226416113233,0.2598172586417517,2.1425080014767306,60.29411764705882,68,True
F41_turn_std,-0.04871813127975116,0.18879148004837115,-0.25805259467889574,-2.112251521143777,38.80597014925373,67,True
F30_range_vol,-0.050167128394460504,0.19693886713289227,-0.2547345230771956,-2.0850919345615297,37.3134328358209,67,True
F37_amihud63,0.0344732111567802,0.14160458718610006,0.24344699449230905,1.9627324176456127,60.0,65,False
F102_rev_chg,-0.03256085436142407,0.11899682648938348,-0.27362792203814823,-1.9540942212863384,45.09803921568628,51,False
F44_price_impact,-0.04469474311048704,0.18959097074234132,-0.235742994170478,-1.9439865309284987,41.17647058823529,68,False
F40_turn63,-0.051990676702356915,0.21840999189773064,-0.23804165849106979,-1.9191532055874647,36.92307692307693,65,False
F94_roe_stab,-0.03688286358310153,0.14008527236093635,-0.26328865955352593,-1.8986015245368388,38.46153846153847,52,False
F36_amihud21,0.031554466532465665,0.13760355500501084,0.22931432644539312,1.8770186575998626,62.68656716417911,67,False
F73_dp,0.05271936618655378,0.23416005745153742,0.2251424378705782,1.8565721042989112,54.41176470588235,68,False
F39_turn21,-0.047884589512068344,0.21233712253455864,-0.22551209576778056,-1.8458960581835682,37.3134328358209,67,False
F22_ivol63,-0.053769409882322476,0.24153733125613663,-0.22261324824071632,-1.7947653855026238,38.46153846153847,65,False
F68_bm,0.05144105714296984,0.25117255925201193,0.20480365090900268,1.688854170419889,55.88235294117647,68,False
F31_mdd21,0.040198567029367,0.19604222865509255,0.2050505511243216,1.6784110970194395,65.67164179104478,67,False
F33_tail_risk,0.046697135264744914,0.226318932572074,0.2063333134971978,1.6635123554748965,64.61538461538461,65,False
F76_ebit_mv,0.041105666008045216,0.20510174369479592,0.2004159753474012,1.6526724708370406,50.0,68,False
F14_mom_stab,0.04392158094207812,0.22412842349931184,0.19596613520200384,1.6040519479688535,62.68656716417911,67,False
F63_hl_ratio,-0.038557323258442834,0.20325439268510426,-0.189699827635108,-1.5527600099567573,38.80597014925373,67,False
F75_ebitda_mv,0.042224822845062515,0.22537433397327855,0.18735417694043585,1.5449621218521552,50.0,68,False
F77_ni_mv,0.041097970322949685,0.22484406185476574,0.18278432609661815,1.5072781664073986,52.94117647058824,68,False
F71_sp,0.035121540453601684,0.19343645253033442,0.18156629732492627,1.4972340438459446,54.41176470588235,68,False
F79_rev_mv,0.03427052174042313,0.19055369180904363,0.1798470626051479,1.4830568711561938,54.41176470588235,68,False
F02_mom2w,-0.029936752581322,0.16626265064216486,-0.1800569909459264,-1.4738299899342513,44.776119402985074,67,False
F10_maxret,-0.032864522518063356,0.1862433070171064,-0.17646015335759024,-1.444388605410589,43.28358208955223,67,False
F21_ivol21,-0.03932239798342732,0.22314352337477292,-0.17622020746434464,-1.4424245636282118,38.80597014925373,67,False
F52_vnsf,-0.027560943005338664,0.1574884366254253,-0.175002962731101,-1.4324609860769086,44.776119402985074,67,False
F72_sp_ttm,0.032382863936493644,0.19060875472584485,0.16989179737872143,1.400963651037004,54.41176470588235,68,False
F27_upvol,-0.03190104189854698,0.1869967353808488,-0.1705967851982838,-1.3963948685953012,43.28358208955223,67,False
